Algoritmo;TME;PD;precision;recall;fmeasure;time
NaiveBayes;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1916
NaiveBayes;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1698
NaiveBayes;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1792
NaiveBayes;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1646
NaiveBayes;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1855
NaiveBayes;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1935
NaiveBayes;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1854
NaiveBayes;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;2393
NaiveBayes;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1651
NaiveBayes;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1755
RandomTree;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;1752
RandomTree;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;2583
RandomTree;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;1777
RandomTree;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;2129
RandomTree;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;3284
RandomTree;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;2573
RandomTree;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;3367
RandomTree;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1931
RandomTree;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1963
RandomTree;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1959
RandomTree;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1813
RandomTree;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1955
RandomTree;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1776
RandomTree;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;2016
RandomTree;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1822
J48;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;16430
J48;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;2466
J48;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;12738
J48;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;3449
J48;10;75;0,9219653179190751;0,8529411764705882;0,8861111111111111;1905
J48;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1965
J48;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1878
J48;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1900
J48;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;1954
J48;10;80;0,923728813559322;0,8743315508021391;0,8983516483516485;2025
J48;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1985
J48;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;4351
J48;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1991
J48;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;2037
J48;10;85;0,9213483146067416;0,8770053475935828;0,8986301369863013;1962
NaiveBayes;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2281
NaiveBayes;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2319
NaiveBayes;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2097
NaiveBayes;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2253
NaiveBayes;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2414
NaiveBayes;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2215
NaiveBayes;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2134
NaiveBayes;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2293
NaiveBayes;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2222
NaiveBayes;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2521
NaiveBayes;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2291
NaiveBayes;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2165
NaiveBayes;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2058
NaiveBayes;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2108
NaiveBayes;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2238
RandomTree;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2524
RandomTree;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2600
RandomTree;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2522
RandomTree;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2036
RandomTree;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2264
RandomTree;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2299
RandomTree;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2354
RandomTree;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2052
RandomTree;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2140
RandomTree;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2150
RandomTree;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2155
RandomTree;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2273
RandomTree;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2254
RandomTree;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2246
RandomTree;100;85;0,9929078014184397;0,37433155080213903;0,5436893203883495;2288
J48;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2169
J48;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2193
J48;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2102
J48;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2064
J48;100;75;0,9928571428571429;0,3716577540106952;0,5408560311284047;2206
J48;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2071
J48;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2512
J48;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2032
J48;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2180
J48;100;80;0,9929577464788732;0,3770053475935829;0,5465116279069767;2112
