Algoritmo,TME,PD,precision,recall,fmeasure,time
NaiveBayes,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1731
NaiveBayes,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1646
NaiveBayes,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1661
NaiveBayes,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1620
NaiveBayes,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1833
NaiveBayes,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1735
NaiveBayes,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1848
NaiveBayes,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1996
NaiveBayes,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1681
NaiveBayes,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1665
NaiveBayes,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1963
NaiveBayes,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1720
NaiveBayes,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1697
NaiveBayes,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1772
NaiveBayes,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1665
RandomTree,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1845
RandomTree,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1885
RandomTree,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1852
RandomTree,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1795
RandomTree,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1842
RandomTree,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1748
RandomTree,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1765
RandomTree,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1840
RandomTree,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1758
RandomTree,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1890
RandomTree,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,2067
RandomTree,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1680
RandomTree,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1938
RandomTree,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1774
RandomTree,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1800
J48,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1811
J48,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1870
J48,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,2267
J48,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1862
J48,10,75,0.9246376811594202,0.8529411764705882,0.8873435326842837,1956
J48,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1892
J48,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1871
J48,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,2174
J48,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,1839
J48,10,80,0.923943661971831,0.8770053475935828,0.8998628257887515,2058
J48,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1771
J48,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1755
J48,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1749
J48,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1838
J48,10,85,0.9215686274509803,0.8796791443850267,0.9001367989056087,1713
NaiveBayes,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,1992
NaiveBayes,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,2030
NaiveBayes,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,1948
NaiveBayes,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,1957
NaiveBayes,100,75,0.9928571428571429,0.3716577540106952,0.5408560311284047,1882
NaiveBayes,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,1981
NaiveBayes,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2004
NaiveBayes,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,1878
NaiveBayes,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2337
NaiveBayes,100,80,0.993006993006993,0.37967914438502676,0.5493230174081238,2060
NaiveBayes,100,85,0.9929078014184397,0.37433155080213903,0.5436893203883495,2066
